logFC,logCPM,LR,PValue,FDR,chr1,start1,end1,chr2,start2,end2,interaction_type,interaction_distance,resolution,any_anchor_overlap,both_anchors_overlap,total_has,min_dist_any
-1.50587976476069,4.4913791216864,127.929724864903,1.16288472300005e-29,1.08812436465479e-25,2L,10000000,10008000,X,22432000,22440000,trans,,1000,True,False,1,21114
-1.69234476904483,3.89913498304419,93.4850568366579,4.09278878760744e-22,1.24623544155449e-18,2L,10008000,10016000,X,22432000,22440000,trans,,1000,True,False,1,21114
-1.62706160325063,3.83172501764438,79.5854371049551,4.61816943229028e-19,8.21837249269422e-16,2L,10016000,10024000,X,22432000,22440000,trans,,1000,True,False,1,21114
9.00467471129753,1.2916379104986,63.9353135176685,1.2857221921370801e-15,1.0551522764585998e-12,2L,10016000,10048000,X,15040000,15072000,trans,,1000,True,False,2,12776
9.00467469100454,1.2916379104986,63.9350692173274,1.28588163818146e-15,1.0551522764585998e-12,2L,10016000,10048000,X,19840000,19872000,trans,,1000,False,False,0,98123
8.20441792394537,0.548303122118158,61.3080072574994,4.88091233149866e-15,3.4239629515211197e-12,2L,10024000,10032000,X,22432000,22440000,trans,,1000,True,False,1,21114
8.40138966429916,0.7287283386723,59.1819664499418,1.43745152110253e-14,8.810950387008869e-12,2L,10032000,10040000,X,22432000,22440000,trans,,1000,True,False,1,21114
8.5152704994163,0.834128982363857,57.8565735260229,2.8194321895453702e-14,1.5490283289651597e-11,2L,10040000,10048000,X,22432000,22440000,trans,,1000,True,False,1,21114
8.1410969053052,0.491347451556958,57.0499599196923,4.24880047738986e-14,2.1604974383569098e-11,2L,10048000,10056000,X,22432000,22440000,trans,,1000,True,False,1,21114
7.99188518924735,0.35793268497292,53.9405047909515,2.06653287667139e-13,8.10147097023687e-11,2L,10048000,10080000,X,15040000,15072000,trans,,1000,True,False,2,12776
7.99188513215754,0.35793268497292,53.9402798617854,2.06676946396662e-13,8.10147097023687e-11,2L,10048000,10080000,X,18688000,18720000,trans,,1000,True,False,1,32823
-1.01522978569634,4.34858748461766,53.4130332923238,2.7029761107777497e-13,1.01460375088582e-10,2L,10056000,10064000,X,22432000,22440000,trans,,1000,True,False,1,21114
8.21302182582625,0.55726341338004,52.3271560347593,4.69832268221111e-13,1.6150567087651401e-10,2L,10072000,10080000,X,22432000,22440000,trans,,1000,True,False,1,21114
-1.67508533338643,3.32321420191341,51.9224371953083,5.77368672614733e-13,1.91293683095022e-10,2L,10080000,10088000,X,22432000,22440000,trans,,1000,True,False,1,21114
3.48560644540944,2.82376174049139,49.4058977357935,2.08119024005348e-12,5.68448110666133e-10,2L,10080000,10112000,X,15040000,15072000,trans,,1000,True,False,2,12776
3.51545820579704,3.28454548527776,48.8712211844591,2.7333200984440797e-12,7.24399751133597e-10,2L,1008000,1016000,X,22432000,22440000,trans,,1000,True,False,1,21114
8.04865814975606,0.409317484382638,48.5980069656115,3.14188356693251e-12,8.09404338478389e-10,2L,10088000,10096000,X,22432000,22440000,trans,,1000,True,False,1,21114
8.02700364327039,0.389932438512675,48.2596283143203,3.73360440359133e-12,9.31714899585203e-10,2L,10096000,10104000,X,22432000,22440000,trans,,1000,True,False,1,21114
