chromosome,start,end,length,,dm2 site,,dm6
X,329513,329814,301,,X:329513-329814,,X:472691-472992
X,510213,513114,2901,,X:510213-513114,,X:653392-656293
X,618413,619514,1101,,X:618413-619514,,X:761592-762693
X,899013,901114,2101,,X:899013-901114,,X:1042192-1044293
X,1075413,1075714,301,,X:1075413-1075714,,X:1218592-1218893
X,1337413,1340014,2601,,X:1337413-1340014,,X:1480592-1483193
X,1547813,1550714,2901,,X:1547813-1550714,,X:1691657-1694558
X,1735913,1737814,1901,,X:1735913-1737814,,X:1879757-1881658
X,1755713,1756114,401,,X:1755713-1756114,,X:1899557-1899958
X,1764113,1764914,801,,X:1764113-1764914,,X:1907957-1908758
X,1897613,1898014,401,,X:1897613-1898014,,X:2041457-2041858
X,1918313,1919114,801,,X:1918313-1919114,,X:2062157-2062958
X,1977613,1978614,1001,,X:1977613-1978614,,X:2121457-2122458
X,2005713,2006414,701,,X:2005713-2006414,,X:2149557-2150258
X,2034313,2036714,2401,,X:2034313-2036714,,X:2178157-2180558
X,2198513,2200714,2201,,X:2198513-2200714,,X:2342357-2344558
X,2301913,2303214,1301,,X:2301913-2303214,,X:2445757-2447058
X,2464813,2465514,701,,X:2464813-2465514,,X:2608657-2609358
X,2483013,2483314,301,,X:2483013-2483314,,X:2626857-2627158
X,2574513,2576314,1801,,X:2574513-2576314,,X:2718357-2720158
X,2588313,2588614,301,,X:2588313-2588614,,X:2732157-2732458
X,2589313,2591614,2301,,X:2589313-2591614,,X:2733157-2735458
X,3635513,3637314,1801,,X:3635513-3637314,,X:3790276-3792077
X,3645213,3646314,1101,,X:3645213-3646314,,X:3799976-3801077
X,3706313,3706614,301,,X:3706313-3706614,,X:3861076-3861377
X,3972813,3973214,401,,X:3972813-3973214,,X:4127576-4127977
X,4529413,4530314,901,,X:4529413-4530314,,X:4684176-4685077
X,4532913,4533714,801,,X:4532913-4533714,,X:4687676-4688477
X,4547813,4548214,401,,X:4547813-4548214,,X:4702576-4702977
X,4549513,4550914,1401,,X:4549513-4550914,,X:4704276-4705677
X,5174313,5174614,301,,X:5174313-5174614,,X:5329076-5329377
X,5462013,5463014,1001,,X:5462013-5463014,,X:5616776-5617777
X,5534913,5535414,501,,X:5534913-5535414,,X:5689676-5690177
X,5604813,5605814,1001,,X:5604813-5605814,,X:5759577-5760578
X,5633413,5634614,1201,,X:5633413-5634614,,X:5788177-5789378
X,5757613,5758214,601,,X:5757613-5758214,,X:5912377-5912978
X,5928313,5929014,701,,X:5928313-5929014,,X:6083077-6083778
X,6656413,6657314,901,,X:6656413-6657314,,X:6811177-6812078
X,7131413,7133614,2201,,X:7131413-7133614,,X:7286177-7288378
X,7165513,7167114,1601,,X:7165513-7167114,,X:7320277-7321878
X,7570013,7571114,1101,,X:7570013-7571114,,X:7724777-7725878
X,7741513,7742114,601,,X:7741513-7742114,,X:7896277-7896878
X,7894513,7895114,601,,X:7894513-7895114,,X:8049277-8049878
X,7909113,7909614,501,,X:7909113-7909614,,X:8063877-8064378
X,8093313,8094314,1001,,X:8093313-8094314,,X:8248077-8249078
X,8405713,8406914,1201,,X:8405713-8406914,,X:8560477-8561678
X,8534013,8535414,1401,,X:8534013-8535414,,X:8688777-8690178
X,8750313,8751514,1201,,X:8750313-8751514,,X:8905077-8906278
X,8990013,8990514,501,,X:8990013-8990514,,X:9144792-9145293
X,9398313,9399114,801,,X:9398313-9399114,,X:9553092-9553893
X,9418413,9419014,601,,X:9418413-9419014,,X:9573192-9573793
X,9529513,9532514,3001,,X:9529513-9532514,,X:9684292-9687293
X,10069913,10070814,901,,X:10069913-10070814,,X:10224692-10225593
